4.000000e+00	2.367918e+01	-inf	2.367918e+01
4.010000e+00	2.366557e+01	-inf	2.366557e+01
4.020000e+00	2.365200e+01	-inf	2.365200e+01
4.030000e+00	2.363844e+01	-inf	2.363844e+01
4.040000e+00	2.362491e+01	-inf	2.362491e+01
4.050000e+00	2.361141e+01	-inf	2.361141e+01
4.060000e+00	2.359792e+01	-inf	2.359792e+01
4.070000e+00	2.358446e+01	-inf	2.358446e+01
4.080000e+00	2.357102e+01	-inf	2.357102e+01
4.090000e+00	2.355760e+01	-inf	2.355760e+01
4.100000e+00	2.354421e+01	-inf	2.354421e+01
4.110000e+00	2.353083e+01	-inf	2.353083e+01
4.120000e+00	2.351748e+01	-inf	2.351748e+01
4.130000e+00	2.350414e+01	-inf	2.350414e+01
4.140000e+00	2.349082e+01	-inf	2.349082e+01
4.150000e+00	2.347753e+01	-inf	2.347753e+01
4.160000e+00	2.346425e+01	-inf	2.346425e+01
4.170000e+00	2.345099e+01	-inf	2.345099e+01
4.180000e+00	2.343775e+01	-inf	2.343775e+01
4.190000e+00	2.342453e+01	-inf	2.342453e+01
4.200000e+00	2.341132e+01	-inf	2.341132e+01
4.210000e+00	2.339813e+01	-inf	2.339813e+01
4.220000e+00	2.338496e+01	-inf	2.338496e+01
4.230000e+00	2.337180e+01	-inf	2.337180e+01
4.240000e+00	2.335866e+01	-inf	2.335866e+01
4.250000e+00	2.334554e+01	-inf	2.334554e+01
4.260000e+00	2.333243e+01	-inf	2.333243e+01
4.270000e+00	2.331933e+01	-inf	2.331933e+01
4.280000e+00	2.330625e+01	-inf	2.330625e+01
4.290000e+00	2.329319e+01	-inf	2.329319e+01
4.300000e+00	2.328013e+01	-inf	2.328013e+01
4.310000e+00	2.326710e+01	-inf	2.326710e+01
4.320000e+00	2.325407e+01	-inf	2.325407e+01
4.330000e+00	2.324106e+01	-inf	2.324106e+01
4.340000e+00	2.322806e+01	-inf	2.322806e+01
4.350000e+00	2.321507e+01	-inf	2.321507e+01
4.360000e+00	2.320210e+01	-inf	2.320210e+01
4.370000e+00	2.318914e+01	-inf	2.318914e+01
4.380000e+00	2.317619e+01	-inf	2.317619e+01
4.390000e+00	2.316325e+01	-inf	2.316325e+01
4.400000e+00	2.315032e+01	-inf	2.315032e+01
4.410000e+00	2.313741e+01	-inf	2.313741e+01
4.420000e+00	2.312450e+01	-inf	2.312450e+01
4.430000e+00	2.311161e+01	-inf	2.311161e+01
4.440000e+00	2.309872e+01	-inf	2.309872e+01
4.450000e+00	2.308584e+01	-inf	2.308584e+01
4.460000e+00	2.307298e+01	-inf	2.307298e+01
4.470000e+00	2.306012e+01	-inf	2.306012e+01
4.480000e+00	2.304728e+01	-inf	2.304728e+01
4.490000e+00	2.303444e+01	-inf	2.303444e+01
4.500000e+00	2.302161e+01	-inf	2.302161e+01
4.510000e+00	2.300879e+01	-inf	2.300879e+01
4.520000e+00	2.299598e+01	-inf	2.299598e+01
4.530000e+00	2.298318e+01	-inf	2.298318e+01
4.540000e+00	2.297038e+01	-inf	2.297038e+01
4.550000e+00	2.295759e+01	-inf	2.295759e+01
4.560000e+00	2.294481e+01	-inf	2.294481e+01
4.570000e+00	2.293204e+01	-inf	2.293204e+01
4.580000e+00	2.291928e+01	-inf	2.291928e+01
4.590000e+00	2.290652e+01	-inf	2.290652e+01
4.600000e+00	2.289377e+01	-inf	2.289377e+01
4.610000e+00	2.288102e+01	-inf	2.288102e+01
4.620000e+00	2.286829e+01	-inf	2.286829e+01
4.630000e+00	2.285556e+01	-inf	2.285556e+01
4.640000e+00	2.284283e+01	-inf	2.284283e+01
4.650000e+00	2.283011e+01	-inf	2.283011e+01
4.660000e+00	2.281740e+01	-inf	2.281740e+01
4.670000e+00	2.280469e+01	-inf	2.280469e+01
4.680000e+00	2.279199e+01	-inf	2.279199e+01
4.690000e+00	2.277930e+01	-inf	2.277930e+01
